CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
 ,18860,18860,"Crescent City, CA","Crescent City, CA Micro Area",M2,2,G3110,2606118035.000000000000000,578742633.000000000000000,+41.7499033,-123.9809983
 ,22220,22220,"Fayetteville-Springdale-Rogers, AR","Fayetteville-Springdale-Rogers, AR Metro Area",M1,1,G3110,6794624848.000000000000000,130214271.000000000000000,+36.1163935,-094.0795449
 ,22260,22260,"Fergus Falls, MN","Fergus Falls, MN Micro Area",M2,2,G3110,5106508612.000000000000000,654472630.000000000000000,+46.4057273,-095.7145815
456,22280,22280,"Fernley, NV","Fernley, NV Micro Area",M2,2,G3110,5187939862.000000000000000,59489121.000000000000000,+39.0222125,-119.1974246
534,22300,22300,"Findlay, OH","Findlay, OH Micro Area",M2,2,G3110,1376124980.000000000000000,6021322.000000000000000,+41.0002170,-083.6659471
 ,22340,22340,"Fitzgerald, GA","Fitzgerald, GA Micro Area",M2,2,G3110,647802123.000000000000000,9814374.000000000000000,+31.7407715,-083.1471970
 ,22380,22380,"Flagstaff, AZ","Flagstaff, AZ Metro Area",M1,1,G3110,48216135399.000000000000000,116631422.000000000000000,+35.8296919,-111.7737277
220,22420,22420,"Flint, MI","Flint, MI Metro Area",M1,1,G3110,1649671695.000000000000000,32751002.000000000000000,+43.0210768,-083.7063718
 ,22500,22500,"Florence, SC","Florence, SC Metro Area",M1,1,G3110,3525216736.000000000000000,24435234.000000000000000,+34.1535741,-079.8061642
 ,22520,22520,"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL Metro Area",M1,1,G3110,3265890949.000000000000000,212766741.000000000000000,+34.7992544,-087.7193881
 ,22540,22540,"Fond du Lac, WI","Fond du Lac, WI Metro Area",M1,1,G3110,1863667254.000000000000000,119853823.000000000000000,+43.7547219,-088.4932840
 ,22580,22580,"Forest City, NC","Forest City, NC Micro Area",M2,2,G3110,1464476090.000000000000000,4692959.000000000000000,+35.4027469,-081.9195825
368,22620,22620,"Forrest City, AR","Forrest City, AR Micro Area",M2,2,G3110,1644082981.000000000000000,20017606.000000000000000,+35.0228383,-090.7515058
 ,22660,22660,"Fort Collins, CO","Fort Collins, CO Metro Area",M1,1,G3110,6723014102.000000000000000,98984559.000000000000000,+40.6580933,-105.4867638
 ,22700,22700,"Fort Dodge, IA","Fort Dodge, IA Micro Area",M2,2,G3110,1853670893.000000000000000,7269394.000000000000000,+42.4335786,-094.1758309
 ,22780,22780,"Fort Leonard Wood, MO","Fort Leonard Wood, MO Micro Area",M2,2,G3110,1417014581.000000000000000,11312724.000000000000000,+37.8248346,-092.2070224
161,22800,22800,"Fort Madison-Keokuk, IA-IL-MO","Fort Madison-Keokuk, IA-IL-MO Micro Area",M2,2,G3110,4703171976.000000000000000,127526105.000000000000000,+40.4783452,-091.4093633
 ,22820,22820,"Fort Morgan, CO","Fort Morgan, CO Micro Area",M2,2,G3110,3316441488.000000000000000,34663098.000000000000000,+40.2631590,-103.8122102
497,22840,22840,"Fort Payne, AL","Fort Payne, AL Micro Area",M2,2,G3110,2012620262.000000000000000,4107136.000000000000000,+34.4609148,-085.8040207
217,22860,22860,"Fort Polk South, LA","Fort Polk South, LA Micro Area",M2,2,G3110,3436185697.000000000000000,35140846.000000000000000,+31.1028407,-093.1883300
 ,22900,22900,"Fort Smith, AR-OK","Fort Smith, AR-OK Metro Area",M1,1,G3110,6239215730.000000000000000,195405159.000000000000000,+35.4631192,-094.2997413
258,23060,23060,"Fort Wayne, IN","Fort Wayne, IN Metro Area",M1,1,G3110,2571518283.000000000000000,13130160.000000000000000,+41.1131163,-085.2177052
320,23140,23140,"Frankfort, IN","Frankfort, IN Micro Area",M2,2,G3110,1049119194.000000000000000,461117.000000000000000,+40.3059440,-086.4775665
336,23180,23180,"Frankfort, KY","Frankfort, KY Micro Area",M2,2,G3110,1061924384.000000000000000,16259471.000000000000000,+38.1214495,-084.9331670
314,23240,23240,"Fredericksburg, TX","Fredericksburg, TX Micro Area",M2,2,G3110,2740731305.000000000000000,9000601.000000000000000,+30.3250929,-098.9418498
466,23300,23300,"Freeport, IL","Freeport, IL Micro Area",M2,2,G3110,1461392061.000000000000000,1350223.000000000000000,+42.3497262,-089.6659942
420,23340,23340,"Fremont, NE","Fremont, NE Micro Area",M2,2,G3110,1370277209.000000000000000,36091675.000000000000000,+41.5770082,-096.6458524
534,23380,23380,"Fremont, OH","Fremont, OH Micro Area",M2,2,G3110,1057351022.000000000000000,24514231.000000000000000,+41.3553193,-083.1427763
260,23420,23420,"Fresno, CA","Fresno, CA Metro Area",M1,1,G3110,15432139292.000000000000000,136609893.000000000000000,+36.7610058,-119.6550193
 ,23460,23460,"Gadsden, AL","Gadsden, AL Metro Area",M1,1,G3110,1385916770.000000000000000,35022972.000000000000000,+34.0476407,-086.0342629
273,23500,23500,"Gaffney, SC","Gaffney, SC Micro Area",M2,2,G3110,1017770812.000000000000000,11691708.000000000000000,+35.0497962,-081.6076469
264,23540,23540,"Gainesville, FL","Gainesville, FL Metro Area",M1,1,G3110,6069771832.000000000000000,1480054195.000000000000000,+29.4533549,-082.6662573
122,23580,23580,"Gainesville, GA","Gainesville, GA Metro Area",M1,1,G3110,1017833590.000000000000000,93989123.000000000000000,+34.3175689,-083.8184997
206,23620,23620,"Gainesville, TX","Gainesville, TX Micro Area",M2,2,G3110,2265789885.000000000000000,61319327.000000000000000,+33.6391964,-097.2103433
 ,23660,23660,"Galesburg, IL","Galesburg, IL Micro Area",M2,2,G3110,1855427713.000000000000000,8837382.000000000000000,+40.9309446,-090.2137921
 ,23700,23700,"Gallup, NM","Gallup, NM Micro Area",M2,2,G3110,14118189396.000000000000000,12689169.000000000000000,+35.5840616,-108.2532938
 ,23780,23780,"Garden City, KS","Garden City, KS Micro Area",M2,2,G3110,5626854513.000000000000000,2849972.000000000000000,+38.0254528,-100.9706954
456,23820,23820,"Gardnerville Ranchos, NV","Gardnerville Ranchos, NV Micro Area",M2,2,G3110,1840147662.000000000000000,72317573.000000000000000,+38.9051292,-119.6090191
396,23860,23860,"Georgetown, SC","Georgetown, SC Micro Area",M2,2,G3110,2107246447.000000000000000,572958789.000000000000000,+33.4175309,-079.2963325
276,23900,23900,"Gettysburg, PA","Gettysburg, PA Metro Area",M1,1,G3110,1343400759.000000000000000,7771555.000000000000000,+39.8694707,-077.2177296
 ,23940,23940,"Gillette, WY","Gillette, WY Micro Area",M2,2,G3110,26041164938.000000000000000,44421978.000000000000000,+44.2321004,-105.0343417
150,23980,23980,"Glasgow, KY","Glasgow, KY Micro Area",M2,2,G3110,2013005568.000000000000000,36166062.000000000000000,+36.9675705,-085.8154965
 ,18880,18880,"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL Metro Area",M1,1,G3110,5098358171.000000000000000,1781006926.000000000000000,+30.5949415,-086.3581638
 ,18900,18900,"Crossville, TN","Crossville, TN Micro Area",M2,2,G3110,1764574105.000000000000000,9099481.000000000000000,+35.9523984,-084.9947614
142,18980,18980,"Cullman, AL","Cullman, AL Micro Area",M2,2,G3110,1902962812.000000000000000,52533095.000000000000000,+34.1319229,-086.8692666
 ,19000,19000,"Cullowhee, NC","Cullowhee, NC Micro Area",M2,2,G3110,2638771557.000000000000000,42170499.000000000000000,+35.3890446,-083.3228317
 ,19060,19060,"Cumberland, MD-WV","Cumberland, MD-WV Metro Area",M1,1,G3110,1942711769.000000000000000,18227642.000000000000000,+39.5321854,-078.8070822
206,19100,19100,"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX Metro Area",M1,1,G3110,22468532490.000000000000000,859993009.000000000000000,+32.8491708,-096.9704894
174,19140,19140,"Dalton, GA","Dalton, GA Metro Area",M1,1,G3110,1644483808.000000000000000,7298675.000000000000000,+34.7969557,-084.8562790
 ,19180,19180,"Danville, IL","Danville, IL Metro Area",M1,1,G3110,2326634937.000000000000000,7531157.000000000000000,+40.1867542,-087.7267779
 ,19220,19220,"Danville, KY","Danville, KY Micro Area",M2,2,G3110,1329164595.000000000000000,15642809.000000000000000,+37.5078476,-084.7356841
 ,19260,19260,"Danville, VA","Danville, VA Micro Area",M2,2,G3110,2620550199.000000000000000,26245213.000000000000000,+36.8118530,-079.4001219
